epoch;loss;val_loss
0;0.053134356439113614;0.052940726101398466
1;0.05295104032754898;0.05276034173369408
2;0.052770244479179385;0.05258704555034637
3;0.05258858966827393;0.05242521488666534
4;0.052412934064865115;0.05224512133002281
5;0.05223808509111404;0.052074624121189114
6;0.05206442153453827;0.05191378772258758
7;0.05189267683029175;0.05175486975908279
8;0.05172608897089958;0.051582275718450546
9;0.05155838477611542;0.05142392507195473
10;0.05139175570011139;0.05126870650053024
11;0.05123061656951904;0.05111234679818153
12;0.05106834238767624;0.050954655796289446
13;0.05090813726186752;0.050807613372802735
14;0.050751694440841676;0.05065461385250092
15;0.05059506022930145;0.05050121876597404
16;0.050441873282194134;0.050354875892400744
17;0.050287999570369724;0.05021021807193756
18;0.050136251151561735;0.05006567269563675
19;0.049986503362655636;0.049922665059566496
20;0.04983791089057922;0.049776858806610105
21;0.049690671265125275;0.04964113077521324
22;0.04954649904370308;0.049492794424295425
23;0.04940322470664978;0.049362168818712235
24;0.04925933742523193;0.049230460703372954
25;0.04911995589733124;0.049088084518909454
26;0.04897849357128143;0.048953500121831896
27;0.048840687036514285;0.048820764541625976
28;0.04870351219177246;0.04868786102533341
29;0.0485670185983181;0.04855630970001221
30;0.04843127781152725;0.0484254537820816
31;0.048298832952976226;0.04829931071400642
32;0.048164140462875364;0.04817628088593483
33;0.048033740818500516;0.048045262694358826
34;0.04790310364961624;0.04791842794418335
35;0.04777398431301117;0.047788141071796415
36;0.047646114379167555;0.04767594155669212
37;0.04751801961660385;0.04755240523815155
38;0.04739247918128967;0.04742783123254776
39;0.0472676115334034;0.04731291133165359
40;0.047143013805150985;0.047192756235599514
41;0.047019733726978305;0.04707363447546959
42;0.046896886616945264;0.046951269179582596
43;0.04677713960409165;0.046831478267908094
44;0.04665616393089295;0.04671386095881462
45;0.04653785961866379;0.04660566920042038
46;0.04641817998886109;0.04649187010526657
47;0.046300270199775694;0.04637587782740593
48;0.04618351829051971;0.046266642183065414
49;0.04606746950745583;0.04615025961399078
